"job_id","job_title_short","company_name","salary_year_avg","skills"
99305,"Data Analyst","Pinterest Job Advertisements","232423.0","sql"
99305,"Data Analyst","Pinterest Job Advertisements","232423.0","r"
99305,"Data Analyst","Pinterest Job Advertisements","232423.0","python"
99305,"Data Analyst","Pinterest Job Advertisements","232423.0","tableau"
99305,"Data Analyst","Pinterest Job Advertisements","232423.0","hadoop"
1021647,"Data Analyst","Uclahealthcareers","217000.0","crystal"
1021647,"Data Analyst","Uclahealthcareers","217000.0","sql"
1021647,"Data Analyst","Uclahealthcareers","217000.0","tableau"
1021647,"Data Analyst","Uclahealthcareers","217000.0","oracle"
1021647,"Data Analyst","Uclahealthcareers","217000.0","flow"
168310,"Data Analyst","SmartAsset","205000.0","sql"
168310,"Data Analyst","SmartAsset","205000.0","snowflake"
168310,"Data Analyst","SmartAsset","205000.0","go"
168310,"Data Analyst","SmartAsset","205000.0","python"
168310,"Data Analyst","SmartAsset","205000.0","pandas"
168310,"Data Analyst","SmartAsset","205000.0","excel"
168310,"Data Analyst","SmartAsset","205000.0","gitlab"
168310,"Data Analyst","SmartAsset","205000.0","numpy"
168310,"Data Analyst","SmartAsset","205000.0","tableau"
731368,"Data Analyst","Inclusively","189309.0","oracle"
731368,"Data Analyst","Inclusively","189309.0","python"
731368,"Data Analyst","Inclusively","189309.0","jira"
731368,"Data Analyst","Inclusively","189309.0","jenkins"
731368,"Data Analyst","Inclusively","189309.0","atlassian"
731368,"Data Analyst","Inclusively","189309.0","azure"
731368,"Data Analyst","Inclusively","189309.0","aws"
731368,"Data Analyst","Inclusively","189309.0","tableau"
731368,"Data Analyst","Inclusively","189309.0","sap"
731368,"Data Analyst","Inclusively","189309.0","sql"
731368,"Data Analyst","Inclusively","189309.0","snowflake"
731368,"Data Analyst","Inclusively","189309.0","power bi"
731368,"Data Analyst","Inclusively","189309.0","confluence"
731368,"Data Analyst","Inclusively","189309.0","bitbucket"
310660,"Data Analyst","Motional","189000.0","jira"
310660,"Data Analyst","Motional","189000.0","r"
310660,"Data Analyst","Motional","189000.0","atlassian"
310660,"Data Analyst","Motional","189000.0","bitbucket"
310660,"Data Analyst","Motional","189000.0","python"
310660,"Data Analyst","Motional","189000.0","confluence"
310660,"Data Analyst","Motional","189000.0","sql"
310660,"Data Analyst","Motional","189000.0","git"
1749593,"Data Analyst","SmartAsset","186000.0","sql"
1749593,"Data Analyst","SmartAsset","186000.0","numpy"
1749593,"Data Analyst","SmartAsset","186000.0","tableau"
1749593,"Data Analyst","SmartAsset","186000.0","excel"
1749593,"Data Analyst","SmartAsset","186000.0","gitlab"
1749593,"Data Analyst","SmartAsset","186000.0","go"
1749593,"Data Analyst","SmartAsset","186000.0","python"
1749593,"Data Analyst","SmartAsset","186000.0","pandas"
1749593,"Data Analyst","SmartAsset","186000.0","snowflake"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","sql"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","html"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","css"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","angular"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","flask"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","fastapi"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","aws"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","windows"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","keras"
1638595,"Senior Data Analyst","Patterned Learning AI","185000.0","python"
387860,"Data Analyst","Get It Recruit - Information Technology","184000.0","python"
387860,"Data Analyst","Get It Recruit - Information Technology","184000.0","r"
387860,"Data Analyst","Get It Recruit - Information Technology","184000.0","sql"
